Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
0,3,1,0,0,0,4,caught,1,v Australia,Melbourne,2,2
44,107,79,5,0,55.69,5,caught,3,v Australia,Melbourne,2,2
2,10,6,0,0,33.33,4,lbw,1,v Pakistan,Lahore,2,2
8,17,11,1,0,72.72,4,lbw,3,v Pakistan,Lahore,2,2
23,49,29,5,0,79.31,4,bowled,2,v Pakistan,Karachi,2,2
26,74,47,5,0,55.31,4,bowled,4,v Pakistan,Karachi,2,2
63,173,115,11,0,54.78,4,caught,2,v South Africa,Durban,2,2
0,13,7,0,0,0,4,lbw,4,v South Africa,Durban,2,2
64,187,130,11,0,49.23,4,caught,1,v South Africa,Cape Town,2,2
14,88,62,1,0,22.58,5,lbw,3,v South Africa,Cape Town,2,2
62,113,77,7,1,80.51,4,bowled,2,v Australia,Melbourne,2,2
15,31,21,1,0,71.42,4,caught,4,v Australia,Melbourne,2,2
154*,429,243,14,1,63.37,4,not out,2,v Australia,Sydney,2,2
12,33,16,3,0,75,4,bowled,4,v Australia,Sydney,2,2
27,60,46,3,0,58.69,4,bowled,2,v Sri Lanka,Colombo (SSC),2,2
12,42,30,1,0,40,4,caught,3,v Sri Lanka,Colombo (SSC),2,2
6,18,12,0,0,50,4,lbw,1,v Sri Lanka,Colombo (PSS),2,2
14,26,22,1,0,63.63,6,lbw,3,v Sri Lanka,Colombo (PSS),2,2
8,29,21,1,0,38.09,4,lbw,2,v Sri Lanka,Galle,2,2
84,168,142,11,1,59.15,4,lbw,3,v Sri Lanka,Galle,2,2
36,61,34,8,0,105.88,4,lbw,1,v South Africa,Centurion,2,2
111*,327,241,13,1,46.05,5,not out,3,v South Africa,Centurion,2,2
34,90,58,6,0,58.62,4,caught,2,v England,Lord's,2,2
12,84,68,1,0,17.64,5,lbw,4,v England,Lord's,2,2
16,33,34,3,0,47.05,4,caught,2,v England,Nottingham,2,2
56,136,86,8,0,65.11,4,lbw,4,v England,Nottingham,2,2
1,10,8,0,0,12.5,4,caught,1,v England,Birmingham,2,2
40,92,60,8,0,66.66,4,run out,3,v England,Birmingham,2,2
23,65,34,4,0,67.64,4,caught,2,v England,The Oval,2,2
91,235,172,11,0,52.9,4,lbw,3,v England,The Oval,2,2
73,151,98,8,1,74.48,4,bowled,2,v Australia,Melbourne,2,2
32,73,46,4,0,69.56,4,caught,4,v Australia,Melbourne,2,2
41,133,89,8,0,46.06,4,bowled,1,v Australia,Sydney,2,2
80,213,141,9,0,56.73,4,caught,3,v Australia,Sydney,2,2
15,46,25,3,0,60,4,lbw,1,v Australia,Perth,2,2
8,22,16,1,0,50,4,lbw,3,v Australia,Perth,2,2
25,94,69,3,0,36.23,4,caught,2,v Australia,Adelaide,2,2
13,46,34,2,0,38.23,4,caught,4,v Australia,Adelaide,2,2
15,28,24,2,0,62.5,6,bowled,2,v Pakistan,Karachi,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v Pakistan,Karachi,2,4
59,254,172,4,0,34.3,6,lbw,1,v Pakistan,Faisalabad,2,4
8,24,16,1,0,50,6,run out,3,v Pakistan,Faisalabad,2,4
41,124,90,5,0,45.55,7,bowled,1,v Pakistan,Lahore,2,4
35,74,51,5,0,68.62,6,lbw,1,v Pakistan,Sialkot,2,4
57,193,134,6,0,42.53,6,caught,3,v Pakistan,Sialkot,2,4
88,324,266,5,0,33.08,6,caught,1,v New Zealand,Napier,2,4
5,15,13,1,0,38.46,6,caught,2,v New Zealand,Auckland,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v New Zealand,Auckland,2,4
68,216,136,8,0,50,6,caught,2,v England,Manchester,2,4
119*,225,189,17,0,62.96,6,not out,4,v England,Manchester,2,4
21,39,30,3,0,70,7,caught,1,v England,The Oval,2,4
148*,298,213,14,0,69.48,6,not out,2,v Australia,Sydney,2,4
0,4,3,0,0,0,4,caught,2,v Zimbabwe,Harare,2,4
11,35,24,1,0,45.83,4,run out,2,v South Africa,Durban,2,4
111,373,270,19,0,41.11,4,caught,2,v South Africa,Johannesburg,2,4
1,6,5,0,0,20,4,lbw,4,v South Africa,Johannesburg,2,4
73,272,208,8,1,35.09,5,caught,2,v South Africa,Cape Town,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v South Africa,Cape Town,2,4
TDNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,v Sri Lanka,Kandy,2,4
71,202,152,10,0,46.71,4,caught,2,v Sri Lanka,Colombo (PSS),2,4
43,55,47,7,0,91.48,4,caught,2,v New Zealand,Hamilton,2,4
11*,57,42,0,0,26.19,4,not out,4,v New Zealand,Hamilton,2,4
31,81,59,5,0,52.54,4,bowled,2,v England,Lord's,2,4
177,462,360,26,0,49.16,4,caught,1,v England,Nottingham,2,4
74,111,97,11,1,76.28,4,caught,3,v England,Nottingham,2,4
35,72,55,7,0,63.63,4,caught,1,v South Africa,Johannesburg,2,4
9,13,11,2,0,81.81,4,caught,3,v South Africa,Johannesburg,2,4
7,40,30,1,0,23.33,4,bowled,2,v West Indies,Kingston,2,4
15*,43,36,1,0,41.66,4,not out,4,v West Indies,Kingston,2,4
88,306,233,9,0,37.76,4,run out,2,v West Indies,Port of Spain,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,v West Indies,St John's,2,4
83,287,231,9,0,35.93,4,caught,1,v West Indies,Georgetown,2,4
143,292,247,20,0,57.89,4,caught,1,v Sri Lanka,Colombo (RPS),2,4
139,397,266,16,0,52.25,4,caught,2,v Sri Lanka,Colombo (SSC),2,4
8,43,44,1,0,18.18,4,caught,4,v Sri Lanka,Colombo (SSC),2,4
